idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,1.5,-1.5,-0.008,-1.3447651055020935e-08,-5.790867366504215e-09,0.7235077068989666,1.613718126602512e-07,6.949040839805058e-08,-18.056492482787597,0,70,255.0,255.0,255.0
1,0.05,1.4999999995158846,-1.5000000002084712,0.006368677448362797,-6.1859194853096296e-09,-2.6637989885919385e-09,-0.1334824548264753,1.2909745012820095e-07,5.5592326718440465e-08,-16.22311398623008,0,70,255.0,255.0,255.0
2,0.1,1.4999999993545126,-1.5000000002779617,-0.0198204300688496,-5.379060422008373e-10,-2.3163469466016844e-10,-0.8988036917240412,9.682308759615071e-08,4.169424503883035e-08,-14.389735489672557,0,70,255.0,255.0,255.0
3,0.15000000000000002,1.4999999994351987,-1.5000000002432163,-0.08198387631024344,3.4963892743054445e-09,1.5056255152910976e-09,-1.5724560037937314,6.454872506410046e-08,2.7796163359220223e-08,-12.556356993115037,0,70,255.0,255.0,255.0
4,0.2,1.4999999996772564,-1.5000000001389808,-0.17553821503442482,5.91696646420921e-09,2.5479816412618533e-09,-2.1544393910355453,3.2274362532050224e-08,1.3898081679610115e-08,-10.722978496557516,0,70,255.0,255.0,255.0
5,0.25,1.5,-1.5,-0.2959,6.723825527510467e-09,2.8954336832521074e-09,-2.644753853449483,0.0,0.0,-8.889599999999994,0,70,255.0,255.0,255.0
6,0.30000000000000004,1.5000000003227436,-1.4999999998610192,-0.4384857849655753,5.9169664642092095e-09,2.547981641261854e-09,-3.0433993910355452,-3.227436253205027e-08,-1.3898081679610128e-08,-7.056221503442475,0,70,255.0,255.0,255.0
7,0.35000000000000003,1.5000000005648013,-1.4999999997567837,-0.5987121236897568,3.4963892743054408e-09,1.5056255152910949e-09,-3.3503760037937313,-6.45487250641005e-08,-2.7796163359220243e-08,-5.222843006884958,0,70,255.0,255.0,255.0
8,0.4,1.5000000006454872,-1.4999999997220383,-0.7719955699311505,-5.379060422008385e-10,-2.3163469466016968e-10,-3.565683691724041,-9.682308759615074e-08,-4.169424503883036e-08,-3.38946451032744,0,70,255.0,255.0,255.0
9,0.45,1.5000000004841154,-1.4999999997915288,-0.9537526774483628,-6.185919485309632e-09,-2.66379898859194e-09,-3.689322454826475,-1.2909745012820098e-07,-5.5592326718440465e-08,-1.5560860137699235,0,70,255.0,255.0,255.0
10,0.5,1.5,-1.5,-1.1394,-1.3447651055020935e-08,-5.790867366504215e-09,-3.721292293101033,-1.6137181266025117e-07,-6.949040839805058e-08,0.27729248278759044,0,70,255.0,255.0,255.0
11,0.55,1.4999999991931408,-1.5000000003474518,-1.325296737586062,-1.7481946371527213e-08,-7.52812757645548e-09,-3.718151981031343,1.5881867761018131e-22,5.293955920339377e-23,-0.15168000000000997,0,70,255.0,255.0,255.0
12,0.6000000000000001,1.4999999983862817,-1.5000000006949041,-1.5115726751721243,-1.3447651055020918e-08,-5.790867366504208e-09,-3.736460293101034,1.613718126602515e-07,6.949040839805069e-08,-0.5806524827876104,0,70,255.0,255.0,255.0
13,0.65,1.4999999979828524,-1.50000000086863,-1.699300243965155,-1.3447651055020872e-09,-5.790867366504217e-10,-3.7762172293101046,3.227436253205025e-07,1.389808167961012e-07,-1.0096249655752099,0,70,255.0,255.0,255.0
14,0.7000000000000001,1.499999998386282,-1.5000000006949044,-1.8895518751721243,1.8826711477029353e-08,8.107214313105914e-09,-3.837422789658555,4.841154379807539e-07,2.084712251941518e-07,-1.4385974483628103,0,70,255.0,255.0,255.0
15,0.75,1.5,-1.5,-2.0834,4.706677869257327e-08,2.026803578276475e-08,-3.9200769741463857,6.454872506410047e-07,2.779616335922023e-07,-1.867569931150392,0,70,255.0,255.0,255.0
16,0.8,1.5000000029046925,-1.4999999987491726,-2.2821072646901777,6.401081902189965e-08,2.7564528664560065e-08,-4.0355926848390835,3.2274362532049616e-08,1.389808167960991e-08,-2.7530584965575025,0,70,255.0,255.0,255.0
17,0.8500000000000001,1.5000000058900713,-1.4999999974636,-2.487697175621748,5.0294214945778244e-08,2.1657843950725735e-08,-4.195382823802136,-5.809385255769055e-07,-2.501654702329825e-07,-3.638547061964613,0,70,255.0,255.0,255.0
18,0.9,1.5000000074231035,-1.4999999968034412,-2.7023834542082303,5.916966464209176e-09,2.5479816412618516e-09,-4.399447391035545,-1.1941514136858593e-06,-5.142290221455744e-07,-4.524035627371721,0,70,255.0,255.0,255.0
19,0.9500000000000001,1.500000005970757,-1.499999997428855,-2.928379821863142,-6.912092642280777e-08,-2.976505826383172e-08,-4.647786386539309,-1.8073643017948145e-06,-7.782925740581669e-07,-5.409524192778832,0,70,255.0,255.0,255.0
20,1.0,1.5,-1.5,-3.1679,-1.7481946371527214e-07,-7.528127576455478e-08,-4.940399810313426,-2.420577189903769e-06,-1.0423561259707586e-06,-6.295012758185933,0,70,255.0,255.0,255.0
21,1.05,1.4999999891880884,-1.5000000046558573,-3.422395803653231,-2.385613297160714e-07,-1.0272998708178475e-07,-5.2315732796123235,-1.290974501281993e-07,-5.5592326718439427e-08,-5.351926013769932,0,70,255.0,255.0,255.0
22,1.1,1.4999999780534334,-1.5000000094506956,-3.6902714223408863,-1.8772920872809206e-07,-8.084050843639874e-08,-5.47559241169042,2.16238228964737e-06,9.311714725338797e-07,-4.408839269353929,0,70,255.0,255.0,255.0
23,1.1500000000000001,1.4999999723247341,-1.5000000119176051,-3.9691691392019264,-2.2323100751334132e-08,-9.612839828396707e-09,-5.672457206547716,4.4538620294229405e-06,1.9179352717861986e-06,-3.4657525249379266,0,70,255.0,255.0,255.0
24,1.2000000000000002,1.4999999777306898,-1.5000000095896764,-4.256731237375312,2.576569942142024e-07,1.1095301874222132e-07,-5.822167664184213,6.745341769198509e-06,2.904699071038518e-06,-2.5226657805219244,0,70,255.0,255.0,255.0
25,1.25,1.5,-1.5,-4.5506,6.522110761685153e-07,2.808570672754544e-07,-5.924723784599909,9.036821508974067e-06,3.891462870290833e-06,-1.5795790361058977,0,70,255.0,255.0,255.0
26,1.3,1.500000040342953,-1.499999982627398,-4.8486039206969025,8.902344998423859e-07,3.83355419662579e-07,-5.991298196711626,4.841154379807457e-07,2.0847122519414833e-07,-1.0833974483627908,0,70,255.0,255.0,255.0
27,1.35,1.500000081896195,-1.4999999647336177,-5.149316335014711,7.0062261996659e-07,3.0170418979486923e-07,-6.033063529436188,-8.068590633012575e-06,-3.4745204199025365e-06,-0.5872158606196839,0,70,255.0,255.0,255.0
28,1.4000000000000001,1.50000010327796,-1.4999999555261385,-5.451496788984069,8.337543654112717e-08,3.5903377672325114e-08,-6.050019782773594,-1.6621296704005897e-05,-7.157512064999221e-06,-0.09103427287657695,0,70,255.0,255.0,255.0
29,1.4500000000000002,1.5000000831064837,-1.4999999642124395,-5.753904828635619,-9.61507050434001e-07,-4.1404701670505334e-07,-6.042166956723846,-2.5174002774999218e-05,-1.0840503710095906e-05,0.4051473148665299,0,70,255.0,255.0,255.0
30,1.5,1.5,-1.5,-6.0553,-2.434024840958789e-06,-1.048146993337263e-06,-6.009505051286942,-3.3726708845992505e-05,-1.452349535519257e-05,0.9013289026096771,0,70,255.0,255.0,255.0
31,1.55,1.4999998494400988,-1.5000000648345508,-6.354407713559164,-3.322376669653472e-06,-1.4306916915685316e-06,-5.94998593354117,-1.8073643017947903e-06,-7.782925740581558e-07,1.4794358072211968,0,70,255.0,255.0,255.0
32,1.6,1.4999996943617868,-1.5000001316148335,-6.649816837600274,-2.614761271138268e-06,-1.1259762507430788e-06,-5.861561470564822,3.0111980242402924e-05,1.2966910207076259e-05,2.0575427118327165,0,70,255.0,255.0,255.0
33,1.6500000000000001,1.4999996145634253,-1.5000001659778404,-6.940082104861803,-3.1117864541317676e-07,-1.3400067086090396e-07,-5.744231662357898,6.203132478660064e-05,2.6712112988210677e-05,2.635649616444236,0,70,255.0,255.0,255.0
34,1.7000000000000002,1.499999689843376,-1.5000001335605648,-7.223758248082222,3.5883712075218016e-06,1.5452350480779915e-06,-5.5979965089203985,9.395066933079835e-05,4.045731576934509e-05,3.213756521055756,0,70,255.0,255.0,255.0
35,1.75,1.5,-1.5,-7.4994,9.083888287666641e-06,3.911730906073597e-06,-5.422856010252322,0.00012587001387499592,5.4202518550479446e-05,3.7918634256672945,0,70,255.0,255.0,255.0
36,1.8,1.5000005618966514,-1.4999997580343978,-7.765510825066444,1.2399272178771501e-05,5.339411346611546e-06,-5.215734069123688,6.745341769198382e-06,2.904699071038468e-06,4.493014219478041,0,70,255.0,255.0,255.0
37,1.85,1.5000011406566578,-1.4999995088070481,-8.020389114584193,9.75842246458648e-06,4.2022008131774446e-06,-4.973554588304518,-0.00011237933033659916,-4.839312040840251e-05,5.194165013288787,0,70,255.0,255.0,255.0
38,1.9000000000000001,1.500001438468338,-1.4999993805624996,-8.26228199156872,1.1613391451115723e-06,5.000993057712904e-07,-4.696317567794809,-0.0002315040024423967,-9.969093988784347e-05,5.895315807099534,0,70,255.0,255.0,255.0
39,1.9500000000000002,1.500001157520012,-1.4999995015453005,-8.489436579035498,-1.3391977779653211e-05,-5.766893175606913e-06,-4.384023007594563,-0.00035062867454819423,-0.00015098875936728445,6.596466600910279,0,70,255.0,255.0,255.0
40,2.0,1.5,-1.5,-8.7001,-3.3901528309707775e-05,-1.4598776630957125e-05,-4.0366709077037815,-0.0004697533466539914,-0.0002022865788467252,7.297617394721044,0,70,255.0,255.0,255.0
41,2.0500000000000003,1.4999979029732946,-1.5000009030278572,-8.892870586175063,-4.627471204543255e-05,-1.9926953694877656e-05,-3.675333789964089,-2.5174002774996907e-05,-1.0840503710094873e-05,7.155867314866585,0,70,255.0,255.0,255.0
42,2.1,1.499995743011582,-1.5000018331569738,-9.067751504062954,-3.641892858720766e-05,-1.5682827001966698e-05,-3.321084176217122,0.00041940534110399366,0.00018060557142653377,7.014117235012128,0,70,255.0,255.0,255.0
43,2.15,1.4999946315632224,-1.5000023117721615,-9.225097128863318,-4.334177935033328e-06,-1.8663965522243382e-06,-2.9739220664628783,0.0008639846849829841,0.00037205164656316236,6.87236715515767,0,70,255.0,255.0,255.0
44,2.2,1.499995680076575,-1.5000018602582328,-9.36526183577579,4.9979539911091005e-05,2.1522337654349666e-05,-2.6338474607013542,0.0013085640288619787,0.0005634977216997927,6.730617075303211,0,70,255.0,255.0,255.0
45,2.25,1.5,-1.5,-9.4886,0.00012652222495116447,5.4483375617754904e-05,-2.3008603589325567,0.0017531433727409691,0.0007549437968364213,6.588866995448765,0,70,255.0,255.0,255.0
46,2.3000000000000003,1.5000078262101704,-1.4999966298541734,-9.595583630233316,0.0001726995760029587,7.436840343289907e-05,-1.9820187710199417,9.395066933078934e-05,4.045731576934116e-05,6.164796521055759,0,70,255.0,255.0,255.0
47,2.35,1.500015887297014,-1.4999931585650574,-9.687155269163988,0.00013591729188424417,5.852910719468933e-05,-1.68438070682698,-0.0015652420340793757,-0.0006740291652977327,5.740726046662758,0,70,255.0,255.0,255.0
48,2.4000000000000004,1.5000200352787727,-1.4999913723488547,-9.764375092978007,1.6175372595020213e-05,6.965486903125429e-06,-1.4079461663536659,-0.003224434737489556,-0.0013885156463648127,5.316655572269752,0,70,255.0,255.0,255.0
49,2.45,1.5000161221736874,-1.4999930574217684,-9.82830327786135,-0.00018652618186471096,-8.032245744179172e-05,-1.1527151496000043,-0.004883627440899721,-0.0021030021274318867,4.892585097876751,0,70,255.0,255.0,255.0
50,2.5,1.5,-1.5,-9.88,-0.0004721873714949501,-0.00020333472584006248,-0.9186876565659924,-0.0065428201443098865,-0.002817488608498961,4.46851462348375,0,70,255.0,255.0,255.0
51,2.5500000000000003,1.499970792186024,-1.5000125775554487,-9.920573292891683,-0.0006445235919664023,-0.0002775466600367187,-0.7087351259561411,-0.00035062867454816165,-0.00015098875936727036,3.929586600910259,0,70,255.0,255.0,255.0
52,2.6,1.4999407078003617,-1.500025532582796,-9.951322619281093,-0.0005072502389497691,-0.0002184336017767907,-0.525728996474966,0.005841562795213508,0.0025155110897643967,3.3906585783367724,0,70,255.0,255.0,255.0
53,2.6500000000000004,1.4999252273216872,-1.500032198832419,-9.973595299224659,-6.0367312445048105e-05,-2.5995551060277607e-05,-0.3696692681224637,0.012033754264975232,0.005182010938896087,2.8517305557632815,0,70,255.0,255.0,255.0
54,2.7,1.4999398312286751,-1.5000259100546944,-9.988738652778817,0.0006961251875477524,0.00029976749211281734,-0.24055594089863735,0.018225945734736904,0.007848510788027754,2.312802533189795,0,70,255.0,255.0,255.0
55,2.75,1.5,-1.5,-9.9981,0.0017622272610286359,0.000758855527742495,-0.138389014803485,0.02441813720449857,0.010515010637159419,1.7738745106163094,0,70,255.0,255.0,255.0
56,2.8000000000000003,1.500109005045734,-1.4999530599240314,-10.002983998199952,0.0024053947918626496,0.0010358182367139757,-0.060608725155495195,0.001308564028861852,0.0005634977216997378,1.3373370753032663,0,70,255.0,255.0,255.0
57,2.85,1.5002212815015399,-1.499904711103758,-10.004524653711643,0.0018930836639148314,0.0008152052999124734,-0.004655307273158077,-0.021801009146774658,-0.009388015193759853,0.9007996399902269,0,70,255.0,255.0,255.0
58,2.9000000000000004,1.5002790554344791,-1.4998798323214697,-10.003813310123363,0.00022529387718517226,9.70167173379847e-05,0.029471238843527398,-0.04491058232241137,-0.01933952810921953,0.4642622046771838,0,70,255.0,255.0,255.0
59,2.95,1.500224552911612,-1.499903302359454,-10.001941311023387,-0.0025979745683262995,-0.0011187475110094776,0.04177091319456053,-0.06802015549804788,-0.029291041024679124,0.027724769364144475,0,70,255.0,255.0,255.0
60,3.0,1.5,-1.5,-10.0,-0.0065767216726195935,-0.0028320873851299176,0.032243715779941826,-0.09112972867368443,-0.039242553940138716,-0.4088126659488951,0,70,255.0,255.0,255.0
61,3.0500000000000003,1.4995931876310409,-1.5001751827484264,-9.99886111430851,-0.0089770555754842,-0.0038657262868191833,0.014066026578137393,-0.004883627440899263,-0.002103002127431676,-0.3182949021232783,0,70,255.0,255.0,255.0
62,3.1,1.4991741661934788,-1.5003556230021713,-9.998517965872331,-0.0070650844167095585,-0.0030423875978731027,0.0004142255676139236,0.08136247379188513,0.03503654968527503,-0.22777713829766236,0,70,255.0,255.0,255.0
63,3.1500000000000004,1.498958550940397,-1.500448471881703,-9.998744260281896,-0.0008408081962956379,-0.00036207131829166066,-0.008711687251628818,0.16760857502467033,0.07217610149798206,-0.13725937447204556,0,70,255.0,255.0,255.0
64,3.2,1.4991619571248764,-1.50036088050749,-9.999313703127639,0.009695773085757448,0.0041752225519250934,-0.013311711879590689,0.2538546762574547,0.10931565331068878,-0.04674161064642962,0,70,255.0,255.0,255.0
65,3.25,1.5,-1.5,-10.0,0.02454465942944974,0.010569494012777176,-0.013385848316271763,0.34010077749023926,0.14645520512339544,0.04377615317918636,0,70,255.0,255.0,255.0
66,3.3000000000000003,1.501759844430104,-1.4992422090822632,-10.000649144566001,0.04799882751007431,0.020667086910562776,-0.013271381157047414,0.5980659457347384,0.25744851078802644,-0.039197466810212384,0,70,255.0,255.0,255.0
67,3.35,1.5050148537245445,-1.4978407968875564,-10.001396282799028,0.08435125400292351,0.03631434509157979,-0.017305594997292967,0.8560311139792354,0.3684418164526564,-0.12217108679961038,0,70,255.0,255.0,255.0
68,3.4000000000000004,1.5104099408039333,-1.4955182801517182,-10.002448848749056,0.13360193890799804,0.0575112685558285,-0.0254884898370085,1.1139962822237344,0.4794351221172874,-0.2051447067890091,0,70,255.0,255.0,255.0
69,3.45,1.5185900185888812,-1.4919971756105863,-10.004014276466053,0.19575088222529696,0.08425785730330852,-0.03782006567619386,1.3719614504682314,0.5904284277819174,-0.2881183267784071,0,70,255.0,255.0,255.0
70,3.5,1.5302,-1.487,-10.0063,0.2707980839548207,0.11655411133402002,-0.054300322514849106,1.6299266187127288,0.7014217334465471,-0.371091946767805,0,70,255.0,255.0,255.0
71,3.5500000000000003,1.5457482346485443,-1.4803079809225206,-10.00946950742748,0.3505497455351881,0.150877378644567,-0.07229250194994091,1.5601398445019516,0.6715089589753245,-0.3485952306358636,0,70,255.0,255.0,255.0
72,3.6,1.5651968189083434,-1.4719371894476028,-10.01351050293155,0.42681206840501607,0.18370500723155256,-0.08915984557843551,1.4903530702911751,0.6415961845041022,-0.32609851450392247,0,70,255.0,255.0,255.0
73,3.6500000000000004,1.5883712858438703,-1.4619624075114246,-10.018366744721881,0.49958505256430574,0.21503699709497726,-0.10490235340033319,1.420566296080398,0.6116834100328795,-0.3036017983719811,0,70,255.0,255.0,255.0
74,3.7,1.615097168519598,-1.4504584170501644,-10.023981991008139,0.5688686980130561,0.2448733482348406,-0.11952002541563367,1.3507795218696215,0.5817706355616572,-0.28110508224003994,0,70,255.0,255.0,255.0
75,3.75,1.6452,-1.4375,-10.0303,0.6346630047512674,0.27321406065114273,-0.1330128616243371,1.280992747658841,0.5518578610904337,-0.25860836610809845,0,70,255.0,255.0,255.0
76,3.8000000000000003,1.6785392169757198,-1.4231474672276547,-10.037276025724077,0.6990021903491751,0.300927398511171,-0.14607061104319968,1.2925746762574537,0.5566756533106902,-0.26370161064640163,0,70,255.0,255.0,255.0
77,3.85,1.7151098706420829,-1.4074032453220326,-10.04491130547477,0.7639204723770129,0.32888162598221177,-0.15938302268897728,1.3041566048560664,0.5614934455309468,-0.26879485518470475,0,70,255.0,255.0,255.0
78,3.9000000000000004,1.7549409158205869,-1.3902552898025833,-10.053218572363424,0.8294178508347818,0.3570767430642657,-0.17295009656167015,1.3157385334546792,0.5663112377512034,-0.27388809972300787,0,70,255.0,255.0,255.0
79,3.95,1.7980613073327267,-1.3716915561887557,-10.062210559501384,0.8954943257224809,0.3855127497573322,-0.1867718326612781,1.327320462053292,0.57112902997146,-0.278981344261311,0,70,255.0,255.0,255.0
