idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-1.5,1.5,-0.008,-8.603834217669058e-09,-5.4825408359401045e-09,0.7235077066556403,1.0324601061202869e-07,6.579049003128126e-08,-18.056492479867686,0,70,255.0,255.0,255.0
1,0.05,-1.500000000309738,1.4999999998026288,0.006368677439603051,-3.957763740127766e-09,-2.5219687845324477e-09,-0.1334824549384056,8.259680848962295e-08,5.2632392025025e-08,-16.223113983894148,0,70,255.0,255.0,255.0
2,0.1,-1.500000000412984,1.499999999736838,-0.01982043008052927,-3.4415336870676206e-10,-2.1930163343760368e-10,-0.8988036917337747,6.19476063672172e-08,3.947429401876875e-08,-14.389735487920612,0,70,255.0,255.0,255.0
3,0.15000000000000002,-1.5000000003613612,1.4999999997697333,-0.08198387632046313,2.2369968965939542e-09,1.4254606173444285e-09,-1.572456003730467,4.1298404244811474e-08,2.6316196012512495e-08,-12.556356991947073,0,70,255.0,255.0,255.0
4,0.2,-1.500000000206492,1.499999999868419,-0.1755382150402647,3.785687055774386e-09,2.4123179678136455e-09,-2.1544393909284825,2.064920212240573e-08,1.3158098006256247e-08,-10.722978495973539,0,70,255.0,255.0,255.0
5,0.25,-1.5,1.5,-0.2959,4.301917108834529e-09,2.7412704179700522e-09,-2.64475385332782,0.0,0.0,-8.889599999999998,0,70,255.0,255.0,255.0
6,0.30000000000000004,-1.4999999997935078,1.500000000131581,-0.4384857849597355,3.785687055774384e-09,2.4123179678136455e-09,-3.043399390928482,-2.0649202122405757e-08,-1.3158098006256262e-08,-7.0562215040264595,0,70,255.0,255.0,255.0
7,0.35000000000000003,-1.499999999638639,1.5000000002302667,-0.598712123679537,2.236996896593954e-09,1.4254606173444262e-09,-3.3503760037304664,-4.129840424481149e-08,-2.631619601251251e-08,-5.222843008052923,0,70,255.0,255.0,255.0
8,0.4,-1.499999999587016,1.500000000263162,-0.7719955699194707,-3.441533687067629e-10,-2.1930163343760534e-10,-3.565683691733774,-6.194760636721722e-08,-3.947429401876876e-08,-3.3894645120793863,0,70,255.0,255.0,255.0
9,0.45,-1.499999999690262,1.5000000001973715,-0.953752677439603,-3.957763740127767e-09,-2.5219687845324494e-09,-3.689322454938405,-8.259680848962296e-08,-5.263239202502501e-08,-1.5560860161058505,0,70,255.0,255.0,255.0
10,0.5,-1.5,1.5,-1.1394,-8.603834217669058e-09,-5.4825408359401045e-09,-3.7212922933443595,-1.032460106120287e-07,-6.579049003128126e-08,0.2772924798676826,0,70,255.0,255.0,255.0
11,0.55,-1.50000000051623,1.4999999996710476,-1.3252967376006617,-1.1184984482969778e-08,-7.127303086722136e-09,-3.718151981347668,7.940933880509066e-23,5.293955920339377e-23,-0.15168000000000498,0,70,255.0,255.0,255.0
12,0.6000000000000001,-1.50000000103246,1.4999999993420952,-1.5115726752013234,-8.603834217669052e-09,-5.482540835940099e-09,-3.73646029334436,1.0324601061202886e-07,6.579049003128136e-08,-0.5806524798676925,0,70,255.0,255.0,255.0
13,0.65,-1.5000000012905752,1.499999999177619,-1.6993002440016542,-8.60383421766906e-10,-5.482540835940084e-10,-3.7762172293344367,2.0649202122405744e-07,1.3158098006256254e-07,-1.0096249597353792,0,70,255.0,255.0,255.0
14,0.7000000000000001,-1.5000000010324601,1.499999999342095,-1.8895518752013236,1.2045367904736704e-08,7.675557170316157e-09,-3.837422789317898,3.0973803183608623e-07,1.9737147009384382e-07,-1.4385974396030667,0,70,255.0,255.0,255.0
15,0.75,-1.5,1.5,-2.0834,3.0113419761841706e-08,1.9188892925790364e-08,-3.920076973294743,4.1298404244811477e-07,2.631619601251249e-07,-1.8675699194707356,0,70,255.0,255.0,255.0
16,0.8,-1.499999998141572,1.500000001184229,-2.2821072646376184,4.0954250876104724e-08,2.6096894379074893e-08,-4.035592683680849,2.06492021224054e-08,1.3158098006256003e-08,-2.753058495973525,0,70,255.0,255.0,255.0
17,0.8500000000000001,-1.4999999962315205,1.500000002401353,-2.487697175515171,3.217833997408225e-08,2.050470272641596e-08,-4.195382822892096,-3.7168563820330397e-07,-2.3684576411261292e-07,-3.6385470724763147,0,70,255.0,255.0,255.0
18,0.9,-1.4999999952506835,1.5000000030263625,-2.702383454073914,3.7856870557743744e-09,2.4123179678136256e-09,-4.399447390928481,-7.640204785290125e-07,-4.868496262314814e-07,-4.524035648979102,0,70,255.0,255.0,255.0
19,0.9500000000000001,-1.4999999961798975,1.5000000024342481,-2.928379821755105,-4.4223707878819045e-08,-2.8180259896732187e-08,-4.647786387790005,-1.1563553188547219e-06,-7.368534883503503e-07,-5.409524225481892,0,70,255.0,255.0,255.0
20,1.0,-1.5,1.5,-3.1679,-1.1184984482969776e-07,-7.127303086722135e-08,-4.94039981347667,-1.5486901591804306e-06,-9.868573504692189e-07,-6.295012801984697,0,70,255.0,255.0,255.0
21,1.05,-1.5000000069174828,1.4999999955920371,-3.422395803848865,-1.526320190214491e-07,-9.726027442957744e-08,-5.231573283928935,-8.25968084896216e-08,-5.263239202502422e-08,-5.351926016105866,0,70,255.0,255.0,255.0
22,1.1,-1.5000000140414573,1.4999999910524933,-3.690271422737995,-1.201095256786599e-07,-7.653627006972379e-08,-5.475592415087257,1.3834965422011874e-06,8.815925664191704e-07,-4.408839230227034,0,70,255.0,255.0,255.0
23,1.1500000000000001,-1.5000000177066908,1.499999988716931,-3.969169139702692,-1.428236480133027e-08,-9.10101778766031e-09,-5.672457206951638,2.849589892891996e-06,1.815817524863365e-06,-3.4657524443482037,0,70,255.0,255.0,255.0
24,1.2000000000000002,-1.5000000142479495,1.4999999909209123,-4.2567312377782605,1.6484946361053993e-07,1.0504548241661286e-07,-5.822167659522077,4.315683243582806e-06,2.7500424833075598e-06,-2.5226656584693723,0,70,255.0,255.0,255.0
25,1.25,-1.5,1.5,-4.5506,4.172859595569493e-07,2.6590323054309506e-07,-5.9247237727985755,5.781776594273607e-06,3.68426744175175e-06,-1.579578872590531,0,70,255.0,255.0,255.0
26,1.3,-1.4999999741884973,1.5000000164476224,-4.848603919966922,5.695738252096915e-07,3.6294420333923494e-07,-5.991298180603415,3.09738031836081e-07,1.973714700938403e-07,-1.0833974396030437,0,70,255.0,255.0,255.0
27,1.35,-1.4999999476026495,1.5000000333886736,-5.149316333532852,4.4825976274055747e-07,2.856403775524791e-07,-6.03306351675888,-5.162300530601445e-06,-3.2895245015640696e-06,-0.5872160066155564,0,70,255.0,255.0,255.0
28,1.4000000000000001,-1.4999999339225532,1.5000000421059136,-5.451496787115321,5.334377214954679e-08,3.399175318282757e-08,-6.050019781264971,-1.063433909303897e-05,-6.7764204732219795e-06,-0.0910345736280691,0,70,255.0,255.0,255.0
29,1.4500000000000002,-1.4999999468283047,1.5000000338821025,-5.753904827131861,-6.151741465633405e-07,-3.920016697697194e-07,-6.042166974121687,-1.6106377655476496e-05,-1.0263316444879889e-05,0.4051468593594183,0,70,255.0,255.0,255.0
30,1.5,-1.5,1.5,-6.0553,-1.5572939933980996e-06,-9.923398913051588e-07,-6.009505095329028,-2.1578416217914e-05,-1.3750212416537783e-05,0.9013282923469106,0,70,255.0,255.0,255.0
31,1.55,-1.5000000963285278,1.499999938617473,-6.354407716283447,-2.1256632818173173e-06,-1.3545165389273621e-06,-5.949985993657403,-1.1563553188547024e-06,-7.3685348835034e-07,1.479435774518105,0,70,255.0,255.0,255.0
32,1.6,-1.500000195547944,1.4999998753928119,-6.649816843130598,-1.67292952528357e-06,-1.0660252401401928e-06,-5.861561517877218,1.9265705580204594e-05,1.2276505439837103e-05,2.0575432566892995,0,70,255.0,255.0,255.0
33,1.6500000000000001,-1.5000002466030962,1.4999998428594143,-6.940082111836026,-1.9909272379685672e-07,-1.2686599494365113e-07,-5.744231667988473,3.9687766479263896e-05,2.5289864368024545e-05,2.6356507388604937,0,70,255.0,255.0,255.0
34,1.7000000000000002,-1.5000001984388325,1.4999998735506783,-7.223758253694304,2.2958471226428224e-06,1.4629611966622642e-06,-5.597996443991168,6.0109827378323185e-05,3.830322329621199e-05,3.2137582210316884,0,70,255.0,255.0,255.0
35,1.75,-1.5,1.5,-7.4994,5.811890014035449e-06,3.7034563346775404e-06,-5.422855845885304,8.05318882773824e-05,5.131658222439936e-05,3.7918657032028804,0,70,255.0,255.0,255.0
36,1.8,-1.499999640497391,1.5000002290824863,-7.765510814899291,7.933079302059579e-06,5.055121952370214e-06,-5.215733844766968,4.315683243582739e-06,2.750042483307507e-06,4.49301434153059,0,70,255.0,255.0,255.0
37,1.85,-1.499999270205574,1.500000465040079,-8.020389093944756,6.243458338393723e-06,3.978460583008291e-06,-4.973554411732245,-7.190052179021692e-05,-4.581649725778435e-05,5.1941629798583,0,70,255.0,255.0,255.0
