Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,1.5,-1.5,0.008,255,255,255
250,1.5,-1.5,0.2959,255,255,255
500,1.5,-1.5,1.1394,255,255,255
750,1.5,-1.5,2.0834,255,255,255
1000,1.5,-1.5,3.1679,255,255,255
1250,1.5,-1.5,4.5506,255,255,255
1500,1.5,-1.5,6.0553,255,255,255
1750,1.5,-1.5,7.4994,255,255,255
2000,1.5,-1.5,8.7001,255,255,255
2250,1.5,-1.5,9.4886,255,255,255
2500,1.5,-1.5,9.88,255,255,255
2750,1.5,-1.5,9.9981,255,255,255
3000,1.5,-1.5,10,255,255,255
3250,1.5,-1.5,10,255,255,255
3500,1.5302,-1.487,10.0063,255,255,255
3750,1.6452,-1.4375,10.0303,255,255,255
4000,1.8445,-1.3517,10.0719,255,255,255
4250,2.1263,-1.2304,10.1308,255,255,255
4500,2.4887,-1.0744,10.2065,255,255,255
4750,2.93,-0.8844,10.2987,255,255,255
5000,3.4483,-0.6613,10.407,255,255,255
5250,4.0418,-0.4058,10.531,255,255,255
5500,4.7086,-0.1186,10.6704,255,255,255
5750,5.4471,0.1994,10.8247,255,255,255
6000,6.2552,0.5474,10.9937,255,255,255
6250,7.1313,0.9248,11.1769,255,255,255
6500,8.0706,1.3294,11.3733,255,255,255
6750,9.0648,1.7576,11.5812,255,255,255
7000,10.1099,2.2076,11.7997,255,255,255
7250,11.202,2.678,12.028,255,255,255
7500,12.3374,3.1669,12.2654,255,255,255
7750,13.5121,3.6727,12.511,255,255,255
8000,14.7223,4.1937,12.764,255,255,255
8250,15.964,4.7284,13.0235,255,255,255
8500,17.2335,5.275,13.2889,255,255,255
8750,18.5268,5.8318,13.5592,255,255,255
9000,19.8401,6.3972,13.8337,255,255,255
9250,21.1695,6.9695,14.1116,255,255,255
9500,22.5111,7.5472,14.3921,255,255,255
9750,23.8611,8.1284,14.6742,255,255,255
10000,25.2157,8.7115,14.9573,255,255,255
10250,26.5708,9.295,15.2406,255,255,255
10500,27.9228,9.877,15.5232,255,255,255
10750,29.2676,10.456,15.8043,255,255,255
11000,30.6015,11.0303,16.083,255,255,255
11250,31.9205,11.5982,16.3587,255,255,255
11500,33.2209,12.1581,16.6305,255,255,255
11750,34.4986,12.7082,16.8976,255,255,255
12000,35.7499,13.247,17.1591,255,255,255
12250,36.971,13.7728,17.4144,255,255,255
12500,38.1578,14.2839,17.6624,255,255,255
12750,39.3066,14.7786,17.9026,255,255,255
13000,40.4134,15.2553,18.1339,255,255,255
13250,41.4745,15.7123,18.3557,255,255,255
13500,42.4861,16.1479,18.5672,255,255,255
13750,43.4447,16.5606,18.7675,255,255,255
14000,44.3463,16.9487,18.9559,255,255,255
14250,45.1869,17.3105,19.1316,255,255,255
14500,45.9626,17.6443,19.2936,255,255,255
14750,46.6694,17.9485,19.4413,255,255,255
15000,47.3034,18.2215,19.5738,255,255,255
15250,47.8607,18.4615,19.6903,255,255,255
15500,48.3372,18.667,19.79,255,255,255
15750,48.7243,18.834,19.8709,255,255,255
16000,49.0156,18.9593,19.9318,255,255,255
16250,49.2181,19.0462,19.9741,255,255,255
16500,49.3389,19.0979,19.9992,255,255,255
16750,49.3851,19.1176,20.0088,255,255,255
17000,49.386,19.118,20.009,255,255,255
17250,49.386,19.118,20.009,255,255,255
17500,49.386,19.118,20.009,255,255,255
17750,49.386,19.118,20.009,255,255,255
18000,49.386,19.118,20.009,255,255,255
18250,49.386,19.118,20.009,255,255,255
18500,49.386,19.118,20.009,255,255,255
18750,49.386,19.118,20.009,255,255,255
19000,49.386,19.118,20.009,255,255,255
19250,49.386,19.118,20.009,255,255,255
19500,49.386,19.118,20.009,255,255,255
19750,49.386,19.118,20.009,255,255,255
20000,49.386,19.118,20.009,255,255,255
20250,49.386,19.118,20.009,255,255,255
20500,49.386,19.118,20.009,255,255,255
20750,49.386,19.118,20.009,255,255,255
21000,49.3445,19.0131,20.0256,255,255,255
21250,49.1887,18.6188,20.0879,255,255,255
21500,48.9233,17.9476,20.1939,255,255,255
21750,48.5552,17.0165,20.3408,255,255,255
22000,48.091,15.8424,20.526,255,255,255
22250,47.5373,14.4422,20.7466,255,255,255
22500,46.9031,12.8384,20.9993,255,255,255
22750,46.2011,11.0631,21.2791,255,255,255
23000,45.4416,9.1422,21.5819,255,255,255
23250,44.6348,7.1014,21.9037,255,255,255
