Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-1.5,1.5,0.008,255,255,255
250,-1.5,1.5,0.2959,255,255,255
500,-1.5,1.5,1.1394,255,255,255
750,-1.5,1.5,2.0834,255,255,255
1000,-1.5,1.5,3.1679,255,255,255
1250,-1.5,1.5,4.5506,255,255,255
1500,-1.5,1.5,6.0553,255,255,255
1750,-1.5,1.5,7.4994,255,255,255
2000,-1.5,1.5,8.7001,255,255,255
2250,-1.5,1.5,9.4886,255,255,255
2500,-1.5,1.5,9.88,255,255,255
2750,-1.5,1.5,9.9981,255,255,255
3000,-1.5,1.5,10,255,255,255
3250,-1.5,1.5,10,255,255,255
3500,-1.4805,1.5123,10.0059,255,255,255
3750,-1.406,1.5591,10.0286,255,255,255
4000,-1.2771,1.6402,10.0678,255,255,255
4250,-1.0947,1.755,10.1233,255,255,255
4500,-0.8602,1.9025,10.1947,255,255,255
4750,-0.5746,2.0822,10.2816,255,255,255
5000,-0.2393,2.2933,10.3838,255,255,255
5250,0.1447,2.535,10.5007,255,255,255
5500,0.5762,2.8066,10.6321,255,255,255
5750,1.0539,3.1073,10.7777,255,255,255
6000,1.5768,3.4365,10.937,255,255,255
6250,2.1436,3.7934,11.1097,255,255,255
6500,2.7512,4.176,11.2949,255,255,255
6750,3.3944,4.581,11.4909,255,255,255
7000,4.0706,5.0067,11.697,255,255,255
7250,4.7772,5.4515,11.9124,255,255,255
7500,5.5118,5.914,12.1363,255,255,255
7750,6.2718,6.3924,12.3679,255,255,255
8000,7.0548,6.8852,12.6066,255,255,255
8250,7.8582,7.3909,12.8515,255,255,255
8500,8.6796,7.9079,13.1018,255,255,255
8750,9.5164,8.4346,13.3568,255,255,255
9000,10.3661,8.9694,13.6158,255,255,255
9250,11.2263,9.5108,13.8779,255,255,255
9500,12.0944,10.0572,14.1425,255,255,255
9750,12.9679,10.6069,14.4087,255,255,255
10000,13.8443,11.1585,14.6757,255,255,255
10250,14.7212,11.7104,14.9429,255,255,255
10500,15.596,12.2609,15.2095,255,255,255
10750,16.4662,12.8086,15.4746,255,255,255
11000,17.3293,13.3518,15.7375,255,255,255
11250,18.1827,13.889,15.9975,255,255,255
11500,19.0241,14.4185,16.2538,255,255,255
11750,19.8509,14.9389,16.5056,255,255,255
12000,20.6606,15.4486,16.7522,255,255,255
12250,21.4507,15.9459,16.9928,255,255,255
12500,22.2186,16.4293,17.2266,255,255,255
12750,22.9619,16.8972,17.4529,255,255,255
13000,23.6782,17.3481,17.6709,255,255,255
13250,24.3647,17.7803,17.8798,255,255,255
13500,25.0178,18.1915,18.0786,255,255,255
13750,25.6327,18.5786,18.2658,255,255,255
14000,26.208,18.9407,18.441,255,255,255
14250,26.742,19.2769,18.6037,255,255,255
14500,27.2334,19.5862,18.7535,255,255,255
14750,27.6805,19.8676,18.8898,255,255,255
15000,28.0818,20.1202,19.0122,255,255,255
15250,28.4359,20.343,19.1202,255,255,255
15500,28.7411,20.5351,19.2134,255,255,255
15750,28.996,20.6956,19.2912,255,255,255
16000,29.1991,20.8234,19.3533,255,255,255
16250,29.3489,20.9176,19.399,255,255,255
16500,29.4437,20.9773,19.428,255,255,255
16750,29.4822,21.0015,19.4397,255,255,255
17000,29.483,21.002,19.44,255,255,255
17250,29.483,21.002,19.44,255,255,255
17500,29.483,21.002,19.44,255,255,255
17750,29.483,21.002,19.44,255,255,255
18000,29.483,21.002,19.44,255,255,255
18250,29.483,21.002,19.44,255,255,255
18500,29.483,21.002,19.44,255,255,255
18750,29.483,21.002,19.44,255,255,255
19000,29.483,21.002,19.44,255,255,255
19250,29.483,21.002,19.44,255,255,255
19500,29.483,21.002,19.44,255,255,255
19750,29.483,21.002,19.44,255,255,255
20000,29.483,21.002,19.44,255,255,255
20250,29.483,21.002,19.44,255,255,255
20500,29.483,21.002,19.44,255,255,255
20750,29.483,21.002,19.44,255,255,255
21000,29.4415,20.8971,19.4565,255,255,255
21250,29.2855,20.5028,19.5187,255,255,255
21500,29.02,19.8316,19.6245,255,255,255
21750,28.6518,18.9005,19.7713,255,255,255
22000,28.1876,17.7264,19.9566,255,255,255
22250,27.6342,16.3262,20.1776,255,255,255
22500,27.0005,14.7224,20.4307,255,255,255
22750,26.2988,12.9471,20.7108,255,255,255
23000,25.5395,11.0262,21.0139,255,255,255
23250,24.7328,8.9854,21.3357,255,255,255
