Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-3,0,0,255,255,255
250,-3.0105,-0.0093,0.0186,255,255,255
500,-3.05,-0.0441,0.0883,255,255,255
750,-3.117,-0.1031,0.2066,255,255,255
1000,-3.2096,-0.1848,0.3701,255,255,255
1250,-3.3259,-0.2874,0.5755,255,255,255
1500,-3.464,-0.4094,0.8195,255,255,255
1750,-3.622,-0.5491,1.0987,255,255,255
2000,-3.7981,-0.7049,1.4097,255,255,255
2250,-3.9903,-0.8751,1.7494,255,255,255
2500,-4.1968,-1.0581,2.1144,255,255,255
2750,-4.416,-1.2522,2.5018,255,255,255
3000,-4.6461,-1.4557,2.9083,255,255,255
3250,-4.885,-1.6671,3.3306,255,255,255
3500,-5.131,-1.8847,3.7653,255,255,255
3750,-5.3823,-2.1067,4.2092,255,255,255
4000,-5.6368,-2.3316,4.659,255,255,255
4250,-5.8927,-2.5578,5.1113,255,255,255
4500,-6.1483,-2.7835,5.5628,255,255,255
4750,-6.4015,-3.0071,6.0102,255,255,255
5000,-6.6506,-3.227,6.4502,255,255,255
5250,-6.8936,-3.4415,6.8796,255,255,255
5500,-7.1287,-3.649,7.2949,255,255,255
5750,-7.354,-3.8478,7.693,255,255,255
6000,-7.5676,-4.0362,8.0704,255,255,255
6250,-7.7677,-4.2127,8.4238,255,255,255
6500,-7.9524,-4.3756,8.7501,255,255,255
6750,-8.1198,-4.5232,9.0457,255,255,255
7000,-8.2681,-4.6538,9.3076,255,255,255
7250,-8.3908,-4.7647,9.5263,255,255,255
7500,-8.4819,-4.8532,9.6936,255,255,255
7750,-8.5475,-4.9196,9.816,255,255,255
8000,-8.5937,-4.9645,9.9005,255,255,255
8250,-8.6266,-4.9884,9.9542,255,255,255
8500,-8.6524,-4.9916,9.984,255,255,255
8750,-8.6771,-4.9746,9.997,255,255,255
9000,-8.707,-4.938,10,255,255,255
9250,-8.7478,-4.8829,10,255,255,255
9500,-8.8008,-4.8107,10,255,255,255
9750,-8.8652,-4.7211,10,255,255,255
10000,-8.94,-4.614,10,255,255,255
10250,-9.0242,-4.489,10,255,255,255
10500,-9.117,-4.3461,10,255,255,255
10750,-9.2175,-4.1849,10,255,255,255
11000,-9.3252,-4.0039,10,255,255,255
11250,-9.4403,-3.8009,10,255,255,255
11500,-9.5606,-3.5761,10,255,255,255
11750,-9.6844,-3.3301,10,255,255,255
12000,-9.8096,-3.0632,10,255,255,255
12250,-9.9343,-2.7759,10,255,255,255
12500,-10.0566,-2.4686,10,255,255,255
12750,-10.1746,-2.1418,10,255,255,255
13000,-10.2863,-1.7957,10,255,255,255
13250,-10.3897,-1.431,10,255,255,255
13500,-10.483,-1.0479,10,255,255,255
13750,-10.5642,-0.6469,10,255,255,255
14000,-10.6314,-0.2285,10,255,255,255
14250,-10.6826,0.2069,10,255,255,255
14500,-10.7159,0.659,10,255,255,255
14750,-10.7294,1.1273,10,255,255,255
15000,-10.7211,1.6113,10,255,255,255
15250,-10.689,2.1106,10,255,255,255
15500,-10.6314,2.6249,10,255,255,255
15750,-10.5461,3.1536,10,255,255,255
16000,-10.4313,3.6965,10,255,255,255
16250,-10.2839,4.2515,10,255,255,255
16500,-10.1005,4.8139,10,255,255,255
16750,-9.8807,5.3805,10,255,255,255
17000,-9.6243,5.948,10,255,255,255
17250,-9.3308,6.5131,10,255,255,255
17500,-9,7.0725,10,255,255,255
17750,-8.6314,7.6231,10,255,255,255
18000,-8.2247,8.1615,10,255,255,255
18250,-7.7796,8.6845,10,255,255,255
18500,-7.2957,9.1888,10,255,255,255
18750,-6.7728,9.6712,10,255,255,255
19000,-6.2103,10.1283,10,255,255,255
19250,-5.6081,10.557,10,255,255,255
19500,-4.966,10.9527,10,255,255,255
19750,-4.2864,11.3102,10,255,255,255
